compassSystemfullSystemErrorCrossCorrelation,compassFilterfullSystemErrorCrossCorrelation,fullSystemfullSystemErrorCrossCorrelation,gyroFilterfullSystemErrorCrossCorrelation,gyroSystemfullSystemErrorCrossCorrelation,fullSystemErrorAutoCorrelation
0.070250882738037,0.195416844115243,0.0985488285119313,-0.0968680155934375,-0.0627934008100835,0.00213835544783641
0.0754495056337744,0.202897941616746,0.104292009092335,-0.0986059325285688,-0.0604134118059717,0.00230899948097171
0.0808997489283294,0.210638905482483,0.110037012495533,-0.100601892992147,-0.058065933859325,0.00251687696332478
0.0865340815985941,0.218575913573399,0.115640155399368,-0.102935758178189,-0.0559267831891442,0.00277025681160532
0.0923155524069443,0.226677063135347,0.12168723564121,-0.104989827479585,-0.053383953719666,0.00302407686363689
0.0983326996772251,0.235022249822837,0.127728763281734,-0.107293486540064,-0.050862234921494,0.00329351962630296
0.104602925059485,0.243621595771401,0.134519643104535,-0.109101952674921,-0.0476241216238122,0.00358520783967314
0.111079721424695,0.252429195521732,0.142116613126875,-0.110312582395636,-0.0436806847719708,0.00395049623979763
0.117697873119531,0.261391321997507,0.148762516743903,-0.112628805259322,-0.0407710028645982,0.00434096812386997
0.124567598285336,0.27059630468388,0.155865870006632,-0.114730434683484,-0.0374415405364873,0.00476308019096905
0.131664301782231,0.280021815903768,0.163375703892338,-0.116646112008051,-0.0337428998131405,0.00519912182893937
0.138979498197192,0.28966161362145,0.170724886126534,-0.118936727497466,-0.0301934783263797,0.00560442859360981
0.146520419800904,0.299523726134794,0.17827421398085,-0.121249512135429,-0.0264327383525337,0.00597785850342396
0.154276342808901,0.309600103305586,0.186149932866101,-0.123450170434353,-0.0223841460434154,0.00635907513872423
0.162076302868497,0.319749786325182,0.193759277970197,-0.125990508342186,-0.0186259774220941,0.00666821112723223
0.170050847429333,0.330086655058299,0.201589992028728,-0.128496663009352,-0.0146571490705745,0.00695947765078537
0.178251440886275,0.340652642596979,0.209442004170601,-0.131210638420433,-0.0106326347595314,0.00721232514842995
0.186615003125293,0.35140270077058,0.217536788059598,-0.133865912711956,-0.00633489884577492,0.00739591413886436
0.195166574001113,0.362366042324408,0.225766637670209,-0.136599404637309,-0.00189643314557283,0.00754819192947512
0.203869486319101,0.37350595652658,0.233994540367608,-0.139511416149747,0.00254515460359731,0.00766155433224672
0.2127556609838,0.384848103920896,0.242301851132652,-0.142546252782137,0.00706763706486007,0.00775679306103224
0.2218565389963,0.396433103438799,0.251201681455963,-0.1452314219766,0.012226162085426,0.00780997402554411
0.23118937169368,0.408275306682169,0.260357523777722,-0.147917782901069,0.0176487454321302,0.00785592841488584
0.240780358236017,0.420388977991284,0.269479544554737,-0.150909433414589,0.0230274731958551,0.00792129313802954
0.250584072894916,0.432748395616987,0.279315525235558,-0.153432870383118,0.0291033701068955,0.00799068787637225
0.260509381037472,0.445276399130567,0.289049232775661,-0.156227166358154,0.0350273666491765,0.00805130402266384
0.270575978003243,0.457984389595887,0.2989541557763,-0.159030233814552,0.0410566505743191,0.00812216770493381
0.280843563494273,0.470933181194206,0.309485190789149,-0.161447990399308,0.0476167322444131,0.00825031221627017
0.291306527235845,0.484120096888676,0.319471004759959,-0.16464909213203,0.0536118372193804,0.00836251887605093
0.302011183113791,0.497573318122055,0.330326054457276,-0.167247263658802,0.0604674550912543,0.00847449366288596
0.312972691700062,0.511306567512552,0.340769900050613,-0.170536667454274,0.0669165611741066,0.00858689238611987
0.324170483569365,0.52530895761447,0.352078196507396,-0.173230761091872,0.0741836390391524,0.00873884974381716
0.335589226314499,0.539562878826733,0.363867145268679,-0.175695733541423,0.0819477674792454,0.00886069344505813
0.347151024969727,0.554005925718229,0.375762183610017,-0.178243742103145,0.0897620417942692,0.00897500266143782
0.358926341424064,0.568702693542166,0.387606982191625,-0.181095711336379,0.097476713787598,0.00911369791070423
0.370996947849302,0.583732036817569,0.399839780692543,-0.183892256112748,0.105561664178302,0.0092781390167147
0.38327919357107,0.599007587015097,0.412048444276609,-0.186959142732024,0.113538145636474,0.00950091194792029
0.395820898870755,0.614567476840291,0.424441306527504,-0.190126170313956,0.12168632941861,0.00971297163778218
0.40864293037157,0.630439496060717,0.437155893814634,-0.19328360225284,0.130134231575149,0.0099257936117283
0.421718661875015,0.646604376042628,0.449951153468906,-0.196653222553128,0.13861663301941,0.0101417189165919
0.435004335158737,0.663017054470921,0.46340822903481,-0.199608825423395,0.147684559695855,0.0103763093169878
0.448652946388133,0.679806321441512,0.47727440620864,-0.20253191522683,0.157099416042911,0.0106798699419934
0.462499729854504,0.696829325662942,0.490353437739291,-0.206475887912607,0.165713663454101,0.0109220002539132
0.476517958751564,0.714056178752799,0.503855114661357,-0.210201064084564,0.174619350540784,0.011206197810647
0.490970431787511,0.731717610026992,0.518260944008944,-0.213456666010903,0.184461525154932,0.0114918617768386
0.505754150662272,0.749731103307568,0.532967285845578,-0.216763817463873,0.194616031329913,0.0117532608540257
0.520897260291219,0.768109186313398,0.547949640518969,-0.220159545790141,0.204996464110861,0.0120660395432424
0.536277410091965,0.786759866116751,0.563500639292345,-0.223259226813103,0.215921263002591,0.0123403842956447
0.551838773385888,0.805632629346552,0.579301804645054,-0.226330824684477,0.226995979082338,0.0126118567975157
0.56763125557336,0.82477513701971,0.595284384120272,-0.229490752899437,0.238216556036995,0.0128517731860224
